t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592985200,161,4687.177032,2870.412754,1023.727110,953.773323,2844.505729,3544.444528,4541.512617,4591.179427,4591.179427,4591.179427,0.366013,0.333758,0.319481,0.261683,calls/second,milliseconds
1592985210,163,4943.087277,2940.724932,1023.727110,1006.231841,2844.505729,3670.304658,4591.179427,4943.087277,4943.087277,4943.087277,0.362323,0.342648,0.322066,0.263205,calls/second,milliseconds
1592985220,167,4943.087277,2951.979437,1023.727110,989.550176,2844.505729,3670.304658,4591.179427,4943.087277,4943.087277,4943.087277,0.363143,0.336740,0.321370,0.263615,calls/second,milliseconds
1592985230,171,4943.087277,2881.274567,1023.727110,939.455266,2844.505729,3509.127221,4541.512617,4943.087277,4943.087277,4943.087277,0.363928,0.330461,0.320642,0.264014,calls/second,milliseconds
1592985240,175,4943.087277,2808.727365,1023.727110,955.624068,2844.505729,3509.127221,4541.512617,4943.087277,4943.087277,4943.087277,0.364677,0.355849,0.326495,0.266618,calls/second,milliseconds
1592985250,180,4943.087277,2688.112800,1023.727110,964.482964,2691.589184,3500.861727,4541.512617,4943.087277,4943.087277,4943.087277,0.367441,0.378618,0.332210,0.269200,calls/second,milliseconds
1592985260,184,4943.087277,2642.554848,1023.727110,956.141339,2715.111364,3452.839526,4366.404118,4591.179427,4943.087277,4943.087277,0.368094,0.381901,0.334433,0.270645,calls/second,milliseconds
1592985270,189,4943.087277,2564.866143,1023.727110,968.949793,2583.798413,3331.896886,4366.404118,4591.179427,4943.087277,4943.087277,0.370679,0.400670,0.339888,0.273183,calls/second,milliseconds
1592985280,193,4943.087277,2482.468109,1023.727110,1023.080296,2283.534765,3331.896886,4297.549863,4545.055876,4943.087277,4943.087277,0.371243,0.384576,0.338553,0.273476,calls/second,milliseconds
1592985290,199,4943.087277,2379.230959,1023.727110,1035.347385,1966.779956,3173.966005,4151.468803,4541.512617,4591.179427,4943.087277,0.375560,0.401657,0.343818,0.275976,calls/second,milliseconds
1592985300,202,4943.087277,2431.606267,1023.727110,1035.055857,2015.643615,3497.926250,4151.468803,4541.512617,4591.179427,4943.087277,0.374159,0.430827,0.352162,0.279550,calls/second,milliseconds
